x	y
10932	23862
11169	23997
10933	24133
11170	24269
10934	24405
11171	24540
10935	24677
11172	24812
10936	24949
11173	25084
10937	25221
11174	25356
10938	25493
11175	25628
10938	25765
11175	25900
10939	26036
11176	26172
10940	26308
11177	26443
10941	26580
11178	26715
10942	26852
11179	26987
10943	27124
11180	27259
10944	27396
11181	27531
10945	27667
11181	27803
10945	27939
11182	28074
10946	28211
11183	28346
10947	28483
11184	28618
10948	28755
11185	28890
10949	29027
11186	29162
10950	29298
11187	29434
11368	12171
11605	12306
11369	12443
11606	12578
11370	12715
11607	12850
11371	12987
11608	13122
11372	13258
11609	13394
11373	13530
11609	13665
11373	13802
11610	13937
11374	14074
11611	14209
11375	14346
11612	14481
11376	14618
11613	14753
11377	14889
11614	15025
11378	15161
11615	15296
11379	15433
11616	15568
11379	15705
11616	15840
11380	15977
11617	16112
11381	16249
11618	16384
11382	16520
11619	16656
11383	16792
11620	16927
11384	17064
11621	17199
11385	17336
11622	17471
11386	17608
11622	17743
11386	17880
11623	18015
11387	18152
11624	18287
11388	18423
11625	18559
11389	18695
11626	18830
11390	18967
11627	19102
11391	19239
11628	19374
11392	19511
11629	19646
11392	19783
11629	19918
11393	20054
11630	20190
11394	20326
11631	20461
11395	20598
11632	20733
11396	20870
11633	21005
11397	21142
11634	21277
11398	21414
11635	21549
11398	21685
11635	21821
11399	21957
11636	22092
11400	22229
11637	22364
11401	22501
11638	22636
11402	22773
11639	22908
11403	23045
11640	23180
11404	23316
11641	23452
11405	23588
11641	23723
11405	23860
11642	23995
11406	24132
11643	24267
11407	24404
11644	24539
11408	24676
11645	24811
11409	24947
11646	25083
11410	25219
11647	25354
11411	25491
11648	25626
11411	25763
11648	25898
11412	26035
11649	26170
11413	26307
11650	26442
11414	26579
11651	26714
11415	26850
11652	26986
11416	27122
11653	27257
11417	27394
11654	27529
11418	27666
11654	27801
11418	27938
11655	28073
11419	28210
11656	28345
11420	28481
11657	28617
11421	28753
11658	28888
11422	29025
11659	29160
11423	29297
11660	29432
11841	12170
12078	12305
11842	12441
12079	12577
11843	12713
12080	12848
11844	12985
12081	13120
11845	13257
12082	13392
11846	13529
12082	13664
11846	13801
12083	13936
11847	14072
12084	14208
11848	14344
12085	14479
11849	14616
12086	14751
11850	14888
12087	15023
11851	15160
12088	15295
11852	15432
12089	15567
11852	15703
12089	15839
11853	15975
12090	16110
11854	16247
12091	16382
11855	16519
12092	16654
11856	16791
12093	16926
11857	17063
12094	17198
11858	17334
12095	17470
11859	17606
12095	17742
11859	17878
12096	18013
11860	18150
12097	18285
11861	18422
12098	18557
11862	18694
12099	18829
11863	18966
12100	19101
11864	19237
12101	19373
11865	19509
12102	19644
11865	19781
12102	19916
11866	20053
12103	20188
11867	20325
12104	20460
11868	20597
12105	20732
11869	20868
12106	21004
11870	21140
12107	21275
11871	21412
12108	21547
11871	21684
12108	21819
11872	21956
12109	22091
11873	22228
12110	22363
11874	22499
12111	22635
11875	22771
12112	22906
11876	23043
12113	23178
11877	23315
12114	23450
11878	23587
12114	23722
11878	23859
12115	23994
11879	24130
12116	24266
11880	24402
12117	24537
11881	24674
12118	24809
11882	24946
12119	25081
11883	25218
12120	25353
11884	25490
12121	25625
11884	25762
12121	25897
11885	26033
12122	26169
11886	26305
12123	26440
11887	26577
12124	26712
11888	26849
12125	26984
11889	27121
12126	27256
11890	27393
12127	27528
11891	27664
12127	27800
11891	27936
12128	28071
11892	28208
12129	28343
11893	28480
12130	28615
11894	28752
12131	28887
11895	29024
12132	29159
11896	29295
12133	29431
12314	12168
12551	12303
12315	12440
12552	12575
12316	12712
12553	12847
12317	12984
12554	13119
12318	13255
12555	13391
12319	13527
12555	13662
12319	13799
12556	13934
12320	14071
12557	14206
12321	14343
12558	14478
12322	14615
12559	14750
12323	14886
12560	15022
12324	15158
12561	15293
12325	15430
12562	15565
12325	15702
12562	15837
12326	15974
12563	16109
12327	16246
12564	16381
12328	16517
12565	16653
12329	16789
12566	16924
12330	17061
12567	17196
12331	17333
12568	17468
12332	17605
12568	17740
12332	17877
12569	18012
12333	18149
12570	18284
12334	18420
12571	18556
12335	18692
12572	18827
12336	18964
12573	19099
12337	19236
12574	19371
12338	19508
12575	19643
12338	19780
12575	19915
12339	20051
12576	20187
12340	20323
12577	20458
12341	20595
12578	20730
12342	20867
12579	21002
12343	21139
12580	21274
12344	21411
12581	21546
12344	21682
12581	21818
12345	21954
12582	22089
12346	22226
12583	22361
12347	22498
12584	22633
12348	22770
12585	22905
12349	23042
12586	23177
12350	23313
12587	23449
12351	23585
12587	23720
12351	23857
12588	23992
12352	24129
12589	24264
12353	24401
12590	24536
12354	24673
12591	24808
12355	24944
12592	25080
12356	25216
12593	25351
12357	25488
12594	25623
12357	25760
12594	25895
12358	26032
12595	26167
12359	26304
12596	26439
12360	26576
12597	26711
12361	26847
12598	26983
12362	27119
12599	27254
12363	27391
12600	27526
12364	27663
12600	27798
12364	27935
12601	28070
12365	28207
12602	28342
12366	28478
12603	28614
12367	28750
12604	28885
12368	29022
12605	29157
12369	29294
12606	29429
12787	12167
13024	12302
12788	12438
13025	12574
12789	12710
13026	12845
12790	12982
13027	13117
12791	13254
13028	13389
12792	13526
13028	13661
12792	13798
13029	13933
12793	14069
13030	14205
12794	14341
13031	14476
12795	14613
13032	14748
12796	14885
13033	15020
12797	15157
13034	15292
12798	15429
13035	15564
12798	15700
13035	15836
12799	15972
13036	16107
12800	16244
13037	16379
12801	16516
13038	16651
12802	16788
13039	16923
12803	17060
13040	17195
12804	17331
13041	17467
12805	17603
13041	17738
12805	17875
13042	18010
12806	18147
13043	18282
12807	18419
13044	18554
12808	18691
13045	18826
12809	18963
13046	19098
12810	19234
13047	19370
12811	19506
13048	19641
12811	19778
13048	19913
12812	20050
13049	20185
12813	20322
13050	20457
12814	20594
13051	20729
12815	20865
13052	21001
12816	21137
13053	21272
12817	21409
13054	21544
12817	21681
13054	21816
12818	21953
13055	22088
12819	22225
13056	22360
12820	22496
13057	22632
12821	22768
13058	22903
12822	23040
13059	23175
12823	23312
13060	23447
12824	23584
13060	23719
12824	23856
13061	23991
12825	24127
13062	24263
12826	24399
13063	24534
12827	24671
13064	24806
12828	24943
13065	25078
12829	25215
13066	25350
12830	25487
13067	25622
12830	25758
13067	25894
12831	26030
13068	26165
12832	26302
13069	26437
12833	26574
13070	26709
12834	26846
13071	26981
12835	27118
13072	27253
12836	27390
13073	27525
12837	27661
13073	27797
12837	27933
13074	28068
12838	28205
13075	28340
12839	28477
13076	28612
12840	28749
13077	28884
12841	29021
13078	29156
12842	29292
13079	29428
13260	12165
13497	12300
13261	12437
13498	12572
13262	12709
13499	12844
13263	12981
13500	13116
13264	13252
13501	13388
13265	13524
13501	13659
13265	13796
13502	13931
13266	14068
13503	14203
13267	14340
13504	14475
13268	14612
13505	14747
13269	14883
13506	15019
13270	15155
13507	15290
13271	15427
13508	15562
13271	15699
13508	15834
13272	15971
13509	16106
13273	16243
13510	16378
13274	16514
13511	16650
13275	16786
13512	16921
13276	17058
13513	17193
13277	17330
13514	17465
13278	17602
13514	17737
13278	17874
13515	18009
13279	18146
13516	18281
13280	18417
13517	18553
13281	18689
13518	18824
13282	18961
13519	19096
13283	19233
13520	19368
13284	19505
13521	19640
13284	19777
13521	19912
13285	20048
13522	20184
13286	20320
13523	20455
13287	20592
13524	20727
13288	20864
13525	20999
13289	21136
13526	21271
13290	21408
13527	21543
13290	21679
13527	21815
13291	21951
13528	22086
13292	22223
13529	22358
13293	22495
13530	22630
13294	22767
13531	22902
13295	23039
13532	23174
13296	23310
13533	23446
13297	23582
13533	23717
13297	23854
13534	23989
13298	24126
13535	24261
13299	24398
13536	24533
13300	24670
13537	24805
13301	24941
13538	25077
13302	25213
13539	25348
13303	25485
13540	25620
13303	25757
13540	25892
13304	26029
